fy,month,year,source,allocated,designated,lottiemoon,anniearmstrong,other_designated
2012-2013,Mar,2013,Texas - SBTC,1053381.49,1740669.67,1646842.2,67773.05,26054.42
2012-2013,Mar,2013,Utah - Idaho,16290.85,80115.03,78385.79,1154.24,575.0
2012-2013,Mar,2013,Virginia - BGAV,169352.76,1262838.25,1210802.64,45064.84,6970.77
2012-2013,Mar,2013,Virginia - SBCV,292436.07,207149.23,186788.85,12121.92,8238.46
2012-2013,Mar,2013,West Virginia,33018.98,26799.73,24752.19,939.3,1108.24
2012-2013,Mar,2013,Wyoming,23359.82,81776.68,76483.37,4379.96,913.35
2012-2013,Mar,2013,Churches & Individuals,329563.74,156194.25,26589.07,2415.0,127190.18
2012-2013,Apr,2013,Alabama,1204597.76,833790.83,701080.6,100861.49,31848.74
2012-2013,Apr,2013,Alaska,16222.44,2740.36,1017.0,1698.36,25.0
2012-2013,Apr,2013,Arizona,55744.44,28827.27,8316.79,20109.98,400.5
2012-2013,Apr,2013,Arkansas,827267.25,947061.71,301585.24,635364.77,10111.7
2012-2013,Apr,2013,California,188015.34,115703.12,97825.7,16416.91,1460.51
2012-2013,Apr,2013,Colorado,64860.21,181830.42,90561.52,89898.9,1370.0
2012-2013,Apr,2013,Dakota,3315.28,1933.37,1511.87,210.0,211.5
2012-2013,Apr,2013,D. C.,0.0,0.0,0.0,0.0,0.0
2012-2013,Apr,2013,Florida,1063666.67,445221.06,343105.43,87835.42,14280.21
2012-2013,Apr,2013,Georgia,1113214.04,746799.14,556892.84,123956.6,65949.7
2012-2013,Apr,2013,Hawaii Pacific,27845.73,22641.85,6153.0,15252.85,1236.0
2012-2013,Apr,2013,Illinois,241208.58,359156.89,83800.61,255936.9,19419.38
2012-2013,Apr,2013,Indiana,22229.89,19916.97,11539.04,7284.62,1093.31
2012-2013,Apr,2013,Iowa,6497.24,4587.21,2617.95,403.95,1565.31
2012-2013,Apr,2013,Kansas-Nebraska,57314.64,106657.16,16743.11,89114.77,799.28
2012-2013,Apr,2013,Kentucky,749128.07,381034.57,295297.52,44357.33,41379.72
2012-2013,Apr,2013,Louisiana,368714.62,788344.8,146677.47,632706.81,8960.52
2012-2013,Apr,2013,Maryland-Delaware,146067.8,186756.58,37401.3,145544.76,3810.52
2012-2013,Apr,2013,Michigan,0.0,0.0,0.0,0.0,0.0
2012-2013,Apr,2013,Minnesota-Wisconsin,5659.94,23294.1,7143.41,15645.25,505.44
2012-2013,Apr,2013,Mississippi,976677.47,720080.89,629634.65,79681.92,10764.32
